epoch,iter,train_loss,val_loss
1,250,20.500942070007323,11.969265474759615
2,500,16.095622866022175,10.501739903376652
2,750,13.516973747253418,9.163490302452674
3,1000,10.106460878641126,6.577206864577073
3,1250,7.65695911026001,4.719100783128005
4,1500,6.030456599284811,3.9121808096078725
4,1750,5.036105646133423,3.5448415415837213
5,2000,4.280802939243285,2.867533765939566
6,2250,3.849792398380932,2.7030353657649115
6,2500,3.429540579319,2.8146458047720104
7,2750,3.1481653922462915,2.770285480205829
7,3000,2.88485950756073,2.5924652698223407
8,3250,2.686701582382815,2.5069587596012997
8,3500,2.6264922404289246,2.685720669086163
9,3750,2.4210101337258663,2.8105090948251576
10,4000,2.3378625256717243,2.6475796590951775
10,4250,2.2480802507400512,2.7274035010704627
11,4500,2.1439660233519455,4.0875682866023135
11,4750,2.6782467241287233,2.5069587596012997
12,5000,2.736743486973068,2.5069587596012997
12,5250,2.6803385257720946,2.5069587596012997
13,5500,2.7026147263735836,2.5069587596012997
14,5750,2.7086085435611262,2.5069587596012997
14,6000,2.7358560338020323,2.5069587596012997
15,6250,2.680658600796571,2.5069587596012997
15,6500,2.720079047203064,2.5069587596012997
16,6750,2.672710971839434,2.5069587596012997
16,7000,2.7393968148231505,2.5069587596012997
17,7250,2.706321506793756,2.5069587596012997
18,7500,2.7071843977104537,2.5069587596012997
18,7750,2.705798463344574,2.5069587596012997
19,8000,2.690098970475967,2.5069587596012997
19,8250,2.7356594433784487,2.5069587596012997
20,8500,2.7054675496088376,2.5069587596012997
20,8750,2.6960891971588135,2.5069587596012997
21,9000,2.712471459306526,2.5069587596012997
22,9250,2.7116102793481285,2.5069587596012997
