epoch,iter,train_loss,val_loss
1,250,15.84868835067749,4.321970456636869
2,500,9.725042266063005,2.998520239609938
2,750,6.727846761703491,2.2867648602999173
3,1000,5.083904512143621,2.0500297833956207
3,1250,4.079044895172119,1.8474656137319712
4,1500,3.3366515217951327,1.8569585518470177
4,1750,2.9375848960876465,1.686054694542518
5,2000,2.6100934096753603,1.8157689672616812
6,2250,2.435674192251289,1.6395364737877478
6,2500,2.2196670994758607,1.7839907942551834
7,2750,2.132375681130352,1.7245701370239257
7,3000,1.9888759903907776,1.7401891814011794
8,3250,1.9004449432728125,1.7157975393442007
8,3500,1.84261101770401,2.500896235539363
9,3750,2.2834481084568994,1.6395364737877478
10,4000,2.2815963934110073,1.6395364737877478
10,4250,2.240833804130554,1.6395364737877478
11,4500,2.2295374966347814,1.6395364737877478
11,4750,2.2713608322143553,1.6395364737877478
12,5000,2.2581047951526374,1.6395364737877478
12,5250,2.261164081573486,1.6395364737877478
13,5500,2.2721479743528943,1.6395364737877478
14,5750,2.293022503203181,1.6395364737877478
14,6000,2.27907231426239,1.6395364737877478
15,6250,2.2263279316736435,1.6395364737877478
15,6500,2.3014844989776613,1.6395364737877478
16,6750,2.2756550031356784,1.6395364737877478
16,7000,2.257675061225891,1.6395364737877478
17,7250,2.273178602657941,1.6395364737877478
18,7500,2.297730621849508,1.6395364737877478
18,7750,2.200758427143097,1.6395364737877478
19,8000,2.2841128121772996,1.6395364737877478
19,8250,2.304132643699646,1.6395364737877478
