epoch,iter,train_loss,val_loss
1,250,17.078305419921875,5.397348456749549
2,500,10.211641181593587,3.5234207834097053
2,750,7.1482530765533445,2.7113920499361477
3,1000,5.350420339644724,2.6863204011183517
3,1250,4.318664643287659,2.104752309359037
4,1500,3.5192439149560433,2.321835485605093
4,1750,3.1121539573669432,2.209205114511343
5,2000,2.706805198284766,2.5898112728412337
6,2250,2.5070182550211477,2.096676674476037
6,2500,2.3371979508399963,1.9318484051044171
7,2750,2.1722330847207676,2.0265551159198467
7,3000,2.061881818294525,2.484864578833947
8,3250,1.9290757639214524,2.6287043351393478
8,3500,1.934461612701416,2.4965841522216796
9,3750,1.824883254227912,2.0623885644766
10,4000,2.1545497579776227,1.9318484051044171
10,4250,2.1604050097465515,1.9318484051044171
11,4500,2.1560653370103533,1.9318484051044171
11,4750,2.160370840549469,1.9318484051044171
12,5000,2.203296949161571,1.9318484051044171
12,5250,2.226177906513214,1.9318484051044171
13,5500,2.1778636456550053,1.9318484051044171
14,5750,2.175159360326516,1.9318484051044171
14,6000,2.1977685980796813,1.9318484051044171
15,6250,2.1583175203401397,1.9318484051044171
15,6500,2.1910190505981446,1.9318484051044171
16,6750,2.180606697910079,1.9318484051044171
16,7000,2.166423789024353,1.9318484051044171
17,7250,2.1969786607829884,1.9318484051044171
18,7500,2.2250525117681095,1.9318484051044171
18,7750,2.2251595363616943,1.9318484051044171
19,8000,2.1253809022706576,1.9318484051044171
19,8250,2.1536019372940065,1.9318484051044171
20,8500,2.1552665817354284,1.9318484051044171
