epoch,iter,train_loss,val_loss
1,250,20.130171905517578,5.405405592698317
2,500,13.18442249142988,3.818569129356971
2,750,9.699322845458985,2.639840334378756
3,1000,7.308003404956876,2.1796790935809796
3,1250,6.190038632392883,1.9031942936823918
4,1500,5.2950411113737585,1.8327684044471153
4,1750,4.852818983078003,1.7560437622070313
5,2000,4.376020011772996,1.5940952805739184
6,2250,4.034187453389391,1.5934891920823318
6,2500,3.811252070426941,1.570628874558669
7,2750,3.63572040750195,1.577434543316181
7,3000,3.4298467130661012,1.5799727290226864
8,3250,3.32047525437144,1.6452809307391827
8,3500,4.1487896356582645,1.5940952805739184
9,3750,4.170551327252349,1.5940952805739184
10,4000,4.099301668814033,1.5940952805739184
10,4250,4.163631713867187,1.5940952805739184
11,4500,4.154881933014935,1.5940952805739184
11,4750,4.148419485092163,1.5940952805739184
12,5000,4.190916126546641,1.5940952805739184
12,5250,4.119427564620971,1.5940952805739184
13,5500,4.115840221277602,1.5940952805739184
14,5750,4.2071454608811765,1.5940952805739184
14,6000,4.104344285011291,1.5940952805739184
15,6250,4.248285465152186,1.5940952805739184
15,6500,4.141850999832153,1.5940952805739184
16,6750,4.190373918372729,1.5940952805739184
16,7000,4.102775057792663,1.5940952805739184
17,7250,4.154622545054987,1.5940952805739184
18,7500,4.188457905657074,1.5940952805739184
18,7750,4.076275888442993,1.5940952805739184
19,8000,4.154808337468014,1.5940952805739184
